Местное время в Никеле,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,grad
21.7,748.0,755.8,,36.0,"Ветер, дующий с юга",6,8.0,,60%., ,,,,23.1,"Слоисто-кучевые, образовавшиеся не из кучевых.",50%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,5.8,Осадков нет,12.0,,,,,,180
22.6,748.4,756.2,,29.0,"Ветер, дующий с юго-запада",4,8.0,,70 – 80%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",50%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,3.7,,,,,,,,225
18.3,749.5,757.5,,39.0,"Ветер, дующий с юго-юго-востока",2,6.0,,"10%  или менее, но не 0", ,,,14.9,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,4.2,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",11.0,,,,112
15.4,750.3,758.3,,42.0,"Ветер, дующий с юго-востока",6,8.0,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,2.5,,,,,,,,135
20.6,750.4,758.2,,29.0,"Ветер, дующий с юга",4,8.0,,50%., ,,,,22.9,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.",50.0,1.8,Осадков нет,12.0,,,,,,180
20.7,751.3,759.2,,33.0,"Ветер, дующий с юга",2,4.0,,"90  или более, но не 100%", ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,3.6,,,,,,,,180
15.9,751.9,760.0,,48.0,"Ветер, дующий с юго-востока",6,8.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,12.5,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,50.0,4.9,Следы осадков,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",7.0,,,,135
14.8,751.8,759.8,,53.0,"Ветер, дующий с юго-востока",8,12.0,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,50.0,5.3,,,,,,,,135
16.2,751.6,759.7,,50.0,"Ветер, дующий с востока",6,8.0,,50%., ,,,,18.4,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,5.6,Осадков нет,12.0,,,,,,90
17.3,752.0,760.0,,43.0,"Ветер, дующий с северо-востока",2,4.0,,60%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,4.5,,,,,,,,45
12.5,751.9,760.1,0.7,70.0,"Штиль, безветрие",0,,,"10%  или менее, но не 0", ,,,7.9,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","10%  или менее, но не 0",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,7.1,0.3,12.0,Поверхность почвы влажная.,5.0,,,,0
10.1,751.2,759.4,,75.0,"Ветер, дующий с юга",2,4.0,,70 – 80%.,Облака в целом рассеиваются или становятся менее развитыми. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,5.8,,,,,,,,180
10.1,751.2,759.4,,75.0,"Ветер, дующий с юга",2,4.0,,70 – 80%.,Облака в целом рассеиваются или становятся менее развитыми. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,5.8,,,,,,,,180
13.3,750.7,758.8,,61.0,"Ветер, дующий с западо-северо-запада",2,2.0,,"90  или более, но не 100%", ,,,,14.7,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,5.9,Осадков нет,12.0,,,,,,292
11.1,750.8,759.0,,61.0,"Ветер, дующий с западо-северо-запада",2,4.0,,"90  или более, но не 100%", ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.7,,,,,,,,292
6.3,749.5,757.9,,78.0,"Ветер, дующий с западо-северо-запада",6,8.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,3.7,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,2.7,5.0,12.0,Поверхность почвы влажная.,3.0,,,,292
4.6,748.8,757.1,,92.0,"Ветер, дующий с северо-запада",2,6.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,300-600,,,20.0,3.4,,,,,,,,298
6.4,747.5,755.8,,93.0,"Ветер, дующий с северо-запада",4,8.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,8.8,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,5.3,5.0,12.0,,,,,,298
7.4,747.2,755.5,,88.0,"Ветер, дующий с северо-северо-востока",8,12.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,5.6,3.0,12.0,,,,,,22
8.0,747.1,755.3,,50.0,"Ветер, дующий с северо-северо-востока",6,10.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,6.4,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-1.8,0.6,12.0,Поверхность почвы влажная.,7.0,,,,22
7.0,748.0,756.2,,83.0,"Ветер, дующий с северо-северо-востока",8,12.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,4.2,,,,,,,,22
8.1,748.6,756.9,,77.0,"Ветер, дующий с северо-востока",8,12.0,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,12.2,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,4.2,0.3,12.0,,,,,,45
10.7,748.5,756.7,,60.0,"Ветер, дующий с северо-востока",10,16.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.1,,,,,,,,45
9.9,748.0,756.2,,66.0,"Ветер, дующий с северо-востока",8,12.0,,"90  или более, но не 100%", ,,,7.5,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.8,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",5.0,,,,45
8.2,747.8,756.0,,83.0,"Ветер, дующий с северо-востока",6,10.0,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,50.0,5.5,,,,,,,,45
10.6,746.6,754.7,,75.0,"Ветер, дующий с северо-востока",8,16.0,,"90  или более, но не 100%", ,,,,26.0,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,6.3,Осадков нет,12.0,,,,,,45
25.3,744.4,752.2,,32.0,"Ветер, дующий с юга",4,8.0,,50%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,7.4,,,,,,,,180
19.9,744.9,752.8,,47.0,"Ветер, дующий с юго-востока",2,4.0,,20–30%., ,,,9.7,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,8.2,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",2.0,,,,135
11.2,745.6,753.7,,90.0,"Ветер, дующий с юго-востока",2,4.0,,20–30%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,9.6,,,,,,,,135
20.2,,,,61.0,"Штиль, безветрие",0,,,"90  или более, но не 100%", ,,,,,,,600-1000,,,50.0,12.5,,,,,,,,0
,744.7,752.5,,,"Ветер, дующий с юго-юго-запада",6,8.0,,"90  или более, но не 100%",Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,23.1,,,,,,,,202
17.8,744.5,752.4,,60.0,"Ветер, дующий с юго-юго-востока",2,4.0,,"90  или более, но не 100%", ,,,11.8,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,9.9,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",9.0,,,,112
16.9,744.0,751.9,,55.0,"Ветер, дующий с юго-востока",10,10.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,7.8,,,,,,,,135
23.1,743.5,751.3,,40.0,"Ветер, дующий с юго-запада",4,6.0,,"90  или более, но не 100%", ,,,,23.6,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",50%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,8.7,Осадков нет,12.0,,,,,,225
21.7,744.5,752.4,,35.0,"Ветер, дующий с юга",6,8.0,,"90  или более, но не 100%", ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,5.5,,,,,,,,180
16.0,746.4,754.3,,47.0,"Ветер, дующий с юга",6,10.0,,"90  или более, но не 100%", ,,,14.4,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,4.5,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",8.0,,,,180
15.3,747.4,755.4,,45.0,"Ветер, дующий с юга",10,10.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.2,,,,,,,,180
21.4,747.6,755.5,,39.0,"Ветер, дующий с юго-востока",6,10.0,,"90  или более, но не 100%", ,,,,23.0,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","10%  или менее, но не 0",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,6.7,Осадков нет,12.0,,,,,,135
21.9,749.3,757.1,,41.0,"Ветер, дующий с юго-запада",5,10.0,,40%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,8.0,,,,,,,,225
14.6,751.8,760.0,,70.0,"Ветер, дующий с северо-запада",2,2.0,12.0,20–30%., ,,,10.7,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,9.2,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",11.0,,,,298
11.6,753.3,761.6,,75.0,"Ветер, дующий с северо-востока",1,2.0,12.0,"90  или более, но не 100%", ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,7.3,,,,,,,,45
14.8,753.5,761.8,,66.0,"Ветер, дующий с юго-востока",5,10.0,12.0,70 – 80%., ,,,,17.9,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,8.5,Осадков нет,12.0,,,,,,135
17.8,754.3,762.4,,45.0,"Ветер, дующий с востоко-юго-востока",4,8.0,,60%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,5.5,,,,,,,,112
12.9,755.0,763.3,,74.0,"Ветер, дующий с северо-северо-запада",3,5.0,,40%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,8.5,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","10%  или менее, но не 0",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,8.4,1.0,12.0,Поверхность почвы влажная.,10.0,,,,318
8.5,754.9,763.4,,92.0,"Ветер, дующий с западо-северо-запада",1,1.0,,"90  или более, но не 100%",Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,7.3,,,,,,,,292
15.1,753.5,761.8,,40.0,"Ветер, дующий с запада",2,3.0,,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,16.1,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,1.5,Следы осадков,12.0,,,,,,270
14.4,753.5,761.8,,43.0,"Ветер, дующий с северо-северо-запада",1,3.0,,"90  или более, но не 100%", ,,,,,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,2.0,,,,,,,,318
11.8,753.1,761.4,,56.0,"Ветер, дующий с северо-северо-запада",1,2.0,,70 – 80%., ,,,6.9,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.3,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",6.0,,,,318
7.2,751.9,760.3,,87.0,"Ветер, дующий с запада",1,2.0,,40%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,5.1,,,,,,,,270
8.3,750.5,758.9,,80.0,"Ветер, дующий с востока",5,6.0,,"90  или более, но не 100%", ,,,,10.5,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,5.1,Осадков нет,12.0,,,,,,90
8.8,748.6,757.0,,83.0,"Ветер, дующий с северо-северо-востока",3,4.0,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,6.0,,,,,,,,22
6.8,746.5,754.9,,91.0,"Ветер, дующий с севера",4,6.0,,100%., ,,,5.2,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,5.4,Следы осадков,12.0,Поверхность почвы влажная.,6.0,,,,360
5.8,744.3,752.8,,93.0,"Ветер, дующий с северо-востока",4,6.0,,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ",Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,10.0,4.8,,,,,,,,45
6.8,742.4,750.7,,89.0,"Ветер, дующий с северо-северо-востока",5,8.0,,100%., ,,,,8.6,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,5.1,Осадков нет,12.0,,,,,,22
8.4,740.7,748.9,,87.0,"Ветер, дующий с северо-северо-востока",6,8.0,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,6.4,,,,,,,,22
7.8,738.8,747.1,,92.0,"Ветер, дующий с северо-северо-востока",4,6.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,5.9,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,6.5,1.0,12.0,Поверхность почвы влажная.,6.0,,,,22
6.5,737.9,746.2,,93.0,"Ветер, дующий с востоко-северо-востока",3,5.0,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,5.5,,,,,,,,68
7.6,738.1,746.4,,87.0,"Ветер, дующий с востоко-северо-востока",3,8.0,13.0,"90  или более, но не 100%",Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,11.9,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,5.6,Следы осадков,12.0,,,,,,68
10.3,738.2,746.5,,79.0,"Ветер, дующий с востока",8,11.0,14.0,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,6.8,,,,,,,,90
11.0,739.2,747.4,,68.0,"Ветер, дующий с востока",7,9.0,10.0,100%., ,,,9.6,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,5.3,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",9.0,,,,90
9.7,740.5,748.8,,71.0,"Ветер, дующий с востока",5,6.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,4.6,,,,,,,,90
14.0,740.8,749.0,,48.0,"Ветер, дующий с юго-юго-востока",3,6.0,10.0,"90  или более, но не 100%", ,,,,15.3,"Слоисто-кучевые, образовавшиеся не из кучевых.",50%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,3.2,Осадков нет,12.0,,,,,,112
14.4,741.5,749.6,,46.0,"Ветер, дующий с юго-востока",5,8.0,,"90  или более, но не 100%", ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,2.9,,,,,,,,135
9.7,742.6,751.0,,64.0,"Ветер, дующий с юго-юго-востока",3,7.0,,"90  или более, но не 100%", ,,,5.0,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.2,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",4.0,,,,112
7.2,743.6,752.0,,67.0,"Ветер, дующий с востоко-юго-востока",3,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,1.4,,,,,,,,112
9.2,743.7,752.0,,62.0,"Ветер, дующий с востоко-юго-востока",6,8.0,,70 – 80%., ,,,,9.8,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,2.2,Осадков нет,12.0,,,,,,112
7.8,744.7,753.1,,61.0,"Ветер, дующий с северо-востока",1,,,"90  или более, но не 100%", ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,0.6,,,,,,,,45
